rowid,timestamp,version,provider,spec,ref,origin,repo,resolved_ref,org
1146,2020-06-19T01:45:00+00:00,4,Gist,bollwyvl/7a128978b8ae89ab02bbd5b84d07a4b7/master,master,gesis.mybinder.org,bollwyvl/7a128978b8ae89ab02bbd5b84d07a4b7,37496ef10f2be15730d0e1c9ae6014fcc761abce,bollwyvl
6251,2020-06-19T01:45:00+00:00,4,Gist,bollwyvl/7a128978b8ae89ab02bbd5b84d07a4b7/master,master,gesis.mybinder.org,bollwyvl/7a128978b8ae89ab02bbd5b84d07a4b7,37496ef10f2be15730d0e1c9ae6014fcc761abce,bollwyvl
21371,2020-06-18T12:37:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
22474,2020-06-18T13:34:00+00:00,3,GitHub,deathbeds/pidgy/template-🐌,template-🐌,gesis.mybinder.org,deathbeds/pidgy,,deathbeds
27252,2020-06-18T17:20:00+00:00,4,GitHub,deathbeds/jupyterlab-starters/master,master,gke.mybinder.org,deathbeds/jupyterlab-starters,ef5384b754f92873d4ae328ad910e1de3b3782f7,deathbeds
72408,2020-06-16T16:41:00+00:00,3,GitHub,deathbeds/pidgy/spec,spec,gke.mybinder.org,deathbeds/pidgy,,deathbeds
96149,2020-06-15T18:11:00+00:00,3,GitHub,deathbeds/nbconvert-pdfqt/master,master,gke.mybinder.org,deathbeds/nbconvert-pdfqt,,deathbeds
96191,2020-06-15T18:13:00+00:00,3,GitHub,deathbeds/nbconvert-pdfqt/master,master,gke.mybinder.org,deathbeds/nbconvert-pdfqt,,deathbeds
131039,2020-06-13T19:14:00+00:00,3,GitHub,bollwyvl/jupyterlab-outsource/feat/robot,robot,gesis.mybinder.org,bollwyvl/jupyterlab-outsource/feat,,bollwyvl
134699,2020-06-12T01:57:00+00:00,3,GitHub,deathbeds/jupyterlab-outsource/master,master,gesis.mybinder.org,deathbeds/jupyterlab-outsource,,deathbeds
134838,2020-06-12T02:10:00+00:00,3,GitHub,deathbeds/jupyterlab-outsource/master,master,gesis.mybinder.org,deathbeds/jupyterlab-outsource,,deathbeds
148448,2020-06-12T16:30:00+00:00,3,GitHub,deathbeds/wxyz/master,master,turing.mybinder.org,deathbeds/wxyz,,deathbeds
155675,2020-06-11T02:12:00+00:00,3,GitHub,deathbeds/wxyz/master,master,ovh.mybinder.org,deathbeds/wxyz,,deathbeds
172687,2020-06-11T18:47:00+00:00,3,GitHub,deathbeds/pidgy/master,master,gke.mybinder.org,deathbeds/pidgy,,deathbeds
175824,2020-06-11T23:07:00+00:00,3,GitHub,deathbeds/wxyz/master,master,ovh.mybinder.org,deathbeds/wxyz,,deathbeds
184417,2020-06-10T09:20:00+00:00,3,GitHub,deathbeds/pidgy/master,master,gesis.mybinder.org,deathbeds/pidgy,,deathbeds
197183,2020-06-10T20:40:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,gke.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
198513,2020-06-10T22:18:00+00:00,3,GitHub,deathbeds/jupyterlab-literallycanvas/master,master,gesis.mybinder.org,deathbeds/jupyterlab-literallycanvas,,deathbeds
204435,2020-06-09T06:18:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,ovh.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
217314,2020-06-09T16:06:00+00:00,3,GitHub,deathbeds/pidgy/master,master,gesis.mybinder.org,deathbeds/pidgy,,deathbeds
225860,2020-06-08T01:30:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-language-server-kernel,add-language-server-kernel,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
246084,2020-06-08T20:08:00+00:00,3,GitHub,deathbeds/pidgy/master,master,gesis.mybinder.org,deathbeds/pidgy,,deathbeds
250348,2020-06-07T03:03:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,ovh.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
252163,2020-06-07T06:32:00+00:00,3,Gist,tonyfast/26dc917693ec170b39d4436956006f82/master,master,gke.mybinder.org,tonyfast/26dc917693ec170b39d4436956006f82,,tonyfast
255104,2020-06-07T10:46:00+00:00,3,GitHub,bollwyvl/jupyterlab-outsource/feat/robot,robot,gesis.mybinder.org,bollwyvl/jupyterlab-outsource/feat,,bollwyvl
258697,2020-06-07T14:45:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
260279,2020-06-07T16:23:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-azure-pipelines,add-azure-pipelines,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
263351,2020-06-07T20:13:00+00:00,3,GitHub,bollwyvl/jupyterlab-outsource/feat/robot,robot,ovh.mybinder.org,bollwyvl/jupyterlab-outsource/feat,,bollwyvl
264636,2020-06-07T22:24:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-language-server-kernel,add-language-server-kernel,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
279076,2020-06-06T19:21:00+00:00,3,GitHub,deathbeds/sweet/master,master,ovh.mybinder.org,deathbeds/sweet,,deathbeds
280579,2020-06-06T21:48:00+00:00,3,GitHub,deathbeds/pidgy/master,master,gesis.mybinder.org,deathbeds/pidgy,,deathbeds
289315,2020-06-05T09:17:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,ovh.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
291794,2020-06-05T11:46:00+00:00,3,GitHub,deathbeds/wxyz/master,master,ovh.mybinder.org,deathbeds/wxyz,,deathbeds
292003,2020-06-05T11:54:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
292144,2020-06-05T12:03:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
292329,2020-06-05T12:12:00+00:00,3,GitHub,deathbeds/nbconvert-pdfqt/master,master,gke.mybinder.org,deathbeds/nbconvert-pdfqt,,deathbeds
300298,2020-06-05T19:21:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
302077,2020-06-05T21:29:00+00:00,3,Gist,tonyfast/26dc917693ec170b39d4436956006f82/master,master,gke.mybinder.org,tonyfast/26dc917693ec170b39d4436956006f82,,tonyfast
303537,2020-06-04T00:01:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-azure-pipelines,add-azure-pipelines,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
307473,2020-06-04T05:50:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,ovh.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
313869,2020-06-04T11:18:00+00:00,3,Gist,tonyfast/26dc917693ec170b39d4436956006f82/master,master,gke.mybinder.org,tonyfast/26dc917693ec170b39d4436956006f82,,tonyfast
329727,2020-06-03T04:12:00+00:00,3,GitHub,deathbeds/nbconvert-pdfqt/master,master,gke.mybinder.org,deathbeds/nbconvert-pdfqt,,deathbeds
335206,2020-06-03T08:44:00+00:00,3,GitHub,deathbeds/jupyterlab-outsource/master,master,ovh.mybinder.org,deathbeds/jupyterlab-outsource,,deathbeds
344751,2020-06-03T16:10:00+00:00,3,GitHub,bollwyvl/jupyterlab-starters/add-rjsf2,add-rjsf2,gke.mybinder.org,bollwyvl/jupyterlab-starters,,bollwyvl
352735,2020-06-02T00:46:00+00:00,3,GitHub,deathbeds/nbconvert-pdfqt/master,master,gke.mybinder.org,deathbeds/nbconvert-pdfqt,,deathbeds
354561,2020-06-02T03:28:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,gke.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
355581,2020-06-02T04:47:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/deps/lab-1.2,lab-1.2,gke.mybinder.org,bollwyvl/jupyterlab-lsp/deps,,bollwyvl
356569,2020-06-02T05:56:00+00:00,3,GitHub,bollwyvl/jupyterlab-starters/add-rjsf2,add-rjsf2,gke.mybinder.org,bollwyvl/jupyterlab-starters,,bollwyvl
361423,2020-06-02T10:00:00+00:00,3,Gist,tonyfast/26dc917693ec170b39d4436956006f82/master,master,gke.mybinder.org,tonyfast/26dc917693ec170b39d4436956006f82,,tonyfast
361536,2020-06-02T10:04:00+00:00,3,GitHub,bollwyvl/jupyterlab-drawio/add-drawio-embed-mode,add-drawio-embed-mode,gke.mybinder.org,bollwyvl/jupyterlab-drawio,,bollwyvl
366555,2020-06-02T14:02:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-azure-pipelines,add-azure-pipelines,gke.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
